t,x,y,buttonDown,event
0.168,254,497,False,
15.998,253,491,False,
31.998,253,483,False,
47.983,250,472,False,
63.995,248,458,False,
80.021,245,443,False,
95.995,242,425,False,
112.076,239,409,False,
127.985,238,397,False,
144.171,238,389,False,
159.979,238,382,False,
175.817,238,375,False,
192.008,238,369,False,
208.118,238,362,False,
223.972,238,353,False,
240.061,238,343,False,
255.981,238,338,False,
272.124,238,323,False,
287.824,238,318,False,
303.747,238,309,False,
319.581,238,302,False,
335.902,238,295,False,
351.816,238,293,False,
367.85,238,292,False,
385.698,238,291,False,
399.835,238,290,False,
415.635,238,290,False,
431.862,238,289,False,
448.01,238,288,False,
463.571,238,287,False,
479.505,238,286,False,
495.391,238,283,False,
511.73,240,279,False,
527.529,243,270,False,
543.256,251,260,False,
559.249,255,251,False,
575.037,258,245,False,
590.671,259,240,False,
600.773,260,238,False,
616.273,260,236,False,
638.413,260,236,False,
648.504,261,235,False,
664.003,261,235,False,
687.054,261,235,False,
702.898,261,234,False,
718.521,261,234,False,
734.336,261,234,False,
750.291,261,234,False,
766.273,261,234,True,left_down
782.102,261,234,True,
798.432,261,234,True,
814.211,261,234,True,
